winner,rounds,loser
Rugalitarian,2-0,Jay
HectorPutrid,2-0,SET
Flavored,2-0,guitar7s
PAG Sabo,2-0,HnH RS HuggyBear
Joe Shyne,2-0,Schmidt
SA Shank,2-0,RPD MCZ Alex Smith
J. Caesar II,2-0,Shonuff122
BE Kane Blueriver,2-1,MisfitPenguin
Buttermilk Chris,2-0,Benji V.
MCZ Mago,2-0,iusedoom
Rugalitarian,2-0,HectorPutrid
SRKUW Fawwaz,2-0,Flavored
AO Omega Tom Hanks,2-0,PAG Sabo
DL Four Wude,2-0,Joe Shyne
J. Caesar II,2-1,SA Shank
DaFeetLee,2-0,BE Kane Blueriver
Buttermilk Chris,2-0,MrGrreatness
MCZ Mago,2-0,Rugalitarian
SRKUW Fawwaz,2-0,AO Omega Tom Hanks
DL Four Wude,2-0,J. Caesar II
DaFeetLee,2-1,Buttermilk Chris
MCZ Mago,2-1,SRKUW Fawwaz
DL Four Wude,2-1,DaFeetLee
MCZ Mago,2-0,DL Four Wude
Jay,2-0,SET
RPD MCZ Alex Smith,2-0,Shonuff122
Kingblack,2-0,MrGrreatness
BE Kane Blueriver,2-0,Jay
